ID,Name,Team,Games,Sport,Event,Medal
404,"Louis Grenville ""Lou"" Abell",Vesper Boat Club,1900 Summer,Rowing,Rowing Men's Coxed Eights,Gold
404,"Louis Grenville ""Lou"" Abell",Vesper Boat Club,1904 Summer,Rowing,Rowing Men's Coxed Eights,Gold
411,Gezahgne Abera,Ethiopia,2000 Summer,Athletics,Athletics Men's Marathon,Gold
416,Nils Georg berg,Sweden,1912 Summer,Athletics,Athletics Men's Long Jump,Bronze
416,Nils Georg berg,Sweden,1912 Summer,Athletics,Athletics Men's Triple Jump,Silver
423,Michael Brent Abernathy,United States,2000 Summer,Baseball,Baseball Men's Baseball,Gold
424,Moira Abernethy (-Ford),South Africa,1956 Summer,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
428,Elvan Abeylegesse,Turkey,2008 Summer,Athletics,"Athletics Women's 5,000 metres",Silver
443,Ismail Abilov (-Nizamolu),Bulgaria,1980 Summer,Wrestling,"Wrestling Men's Middleweight, Freestyle",Gold
454,"Edgar Allen ""Ed"" Ablowich",United States,1932 Summer,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
455,Denis Mikhaylovich Ablyazin,Russia,2012 Summer,Gymnastics,Gymnastics Men's Floor Exercise,Bronze
455,Denis Mikhaylovich Ablyazin,Russia,2012 Summer,Gymnastics,Gymnastics Men's Horse Vault,Silver
455,Denis Mikhaylovich Ablyazin,Russia,2016 Summer,Gymnastics,Gymnastics Men's Team All-Around,Silver
455,Denis Mikhaylovich Ablyazin,Russia,2016 Summer,Gymnastics,Gymnastics Men's Horse Vault,Silver
455,Denis Mikhaylovich Ablyazin,Russia,2016 Summer,Gymnastics,Gymnastics Men's Rings,Bronze
460,Viktor Andreyevich Aboimov,Soviet Union,1972 Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
460,Viktor Andreyevich Aboimov,Soviet Union,1972 Summer,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
465,"Matthew ""Matt"" Abood",Australia,2016 Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
495,Alaaeldin Ahmad El-Sayyid Abouelkassem,Egypt,2012 Summer,Fencing,"Fencing Men's Foil, Individual",Silver
507,Attila brahm,Hungary,1988 Summer,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Bronze
507,Attila brahm,Hungary,1988 Summer,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
507,Attila brahm,Hungary,1992 Summer,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
509,Gary Abraham,Great Britain,1980 Summer,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze
514,Ara Abrahamian,Sweden,2004 Summer,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Silver
519,Harold Maurice Abrahams,Great Britain,1924 Summer,Athletics,Athletics Men's 100 metres,Gold
519,Harold Maurice Abrahams,Great Britain,1924 Summer,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
521,Isak Abrahamsen,Norway,1912 Summer,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Gold
527,Erik Adolf Efraim Abrahamsson,Sweden,1920 Summer,Athletics,Athletics Men's Long Jump,Bronze
529,Karl Gustaf Emanuel Abrahamsson,Sweden,1928 Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
543,Pavel Sergeyevich Abramov,Russia,2004 Summer,Volleyball,Volleyball Men's Volleyball,Bronze
547,Nelli Mikhaylovna Abramova,Soviet Union,1964 Summer,Volleyball,Volleyball Women's Volleyball,Silver
548,Yekaterina Konstantinovna Abramova,Russia,2006 Winter,Speed Skating,Speed Skating Women's Team Pursuit (6 laps),Bronze
576,"Alejandro ""lex"" Abrines Redondo",Spain,2016 Summer,Basketball,Basketball Men's Basketball,Bronze
580,Svetlana Olegovna Abrosimova,Russia,2008 Summer,Basketball,Basketball Women's Basketball,Bronze
582,Saypulla Atavovich Absaidov,Soviet Union,1980 Summer,Wrestling,"Wrestling Men's Lightweight, Freestyle",Gold
583,Julien Absalon,France,2004 Summer,Cycling,"Cycling Men's Mountainbike, Cross-Country",Gold
583,Julien Absalon,France,2008 Summer,Cycling,"Cycling Men's Mountainbike, Cross-Country",Gold
608,Ahmad Abughaush,Jordan,2016 Summer,Taekwondo,Taekwondo Men's Featherweight,Gold
610,Ginko Abukawa-Chiba,Japan,1964 Summer,Gymnastics,Gymnastics Women's Team All-Around,Bronze
618,Aleksandr Veniaminovich Abushakhmetov,Soviet Union,1980 Summer,Fencing,"Fencing Men's epee, Team",Bronze
619,Magomedgasan Mingazhutdinovich Abushev,Soviet Union,1980 Summer,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold
627,Andreea Roxana Acatrinei,Romania,2008 Summer,Gymnastics,Gymnastics Women's Team All-Around,Bronze
629,William Accambray,France,2012 Summer,Handball,Handball Men's Handball,Gold
634,Paul Accola,Switzerland,1988 Winter,Alpine Skiing,Alpine Skiing Men's Combined,Bronze
639,Domingo Gmez-Acedo Villanueva,Spain,1920 Summer,Football,Football Men's Football,Silver
646,Anibl Santiago Acevedo,Puerto Rico,1992 Summer,Boxing,Boxing Men's Welterweight,Bronze
654,Daniel Aceves Villagrn,Mexico,1984 Summer,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Silver
669,Joachim Yaw Acheampong,Ghana,1992 Summer,Football,Football Men's Football,Bronze
670,Alfred Achermann,Switzerland,1984 Summer,Cycling,Cycling Men's 100 kilometres Team Time Trial,Silver
673,Abdel Hak Achik,Morocco,1988 Summer,Boxing,Boxing Men's Featherweight,Bronze
